map,s,t,expect,cost,diff,path_size
NY,227066,208862,578694,592376,13682,396
NY,54104,42841,294687,304955,10268,227
NY,85055,19964,877838,908358,30520,452
NY,124116,77419,394284,405653,11369,205
NY,69358,1423,952334,983907,31573,565
NY,40954,21013,184508,194116,9608,132
NY,21211,17248,89167,93335,4168,95
NY,225242,75981,944684,973372,28688,452
NY,67800,52953,274713,287674,12961,204
NY,12155,9060,189614,192181,2567,144
NY,76267,60151,253257,258058,4801,132
NY,72251,31925,597882,615422,17540,380
NY,224518,107452,512960,522950,9990,378
NY,89285,58439,351098,369519,18421,200
NY,29713,19272,241723,247626,5903,160
NY,100718,409,1003331,1049481,46150,618
NY,62341,57457,131026,131026,0,40
NY,48351,34917,382221,390009,7788,272
NY,258210,93835,701917,711452,9535,417
NY,200686,66759,755983,808932,52949,492
NY,137450,133151,63257,65315,2058,60
NY,207175,122438,523260,551739,28479,403
NY,74224,44410,335120,353852,18732,202
NY,478,448,14469,14469,0,14
NY,88192,38961,452518,464371,11853,227
NY,35762,4228,1004339,1015755,11416,520
NY,107526,77033,471988,475867,3879,314
NY,194871,192928,915470,931726,16256,518
NY,194176,76865,927900,944601,16701,487
NY,110810,23107,147955,154654,6699,117
NY,262369,201011,680142,691261,11119,301
NY,214076,125482,585424,600471,15047,467
NY,27936,27687,29909,29909,0,23
NY,25713,11569,101629,103428,1799,105
NY,23905,6163,572766,593041,20275,269
NY,6567,5737,660096,669490,9394,296
NY,125584,37222,175594,176199,605,152
NY,126354,29931,567220,583494,16274,348
NY,214307,65268,671673,707098,35425,386
NY,195542,8667,412138,427163,15025,305
NY,97947,10184,490730,503325,12595,304
NY,130619,105820,324188,328369,4181,219
NY,152762,94072,733209,753818,20609,594
NY,48867,2613,716471,744921,28450,447
NY,82995,27327,680613,693410,12797,254
NY,152928,77827,854872,909163,54291,652
NY,131426,109731,319137,328510,9373,225
NY,262530,115890,792077,800165,8088,309
NY,162696,135725,248818,252831,4013,169
NY,73037,64759,126444,126963,519,70
NY,191168,148955,987210,1013341,26131,631
NY,247061,211192,396551,405728,9177,296
NY,237617,26983,507986,567385,59399,251
NY,240002,78710,1063411,1099627,36216,452
NY,138401,96094,632674,642285,9611,474
NY,75075,13927,569462,582196,12734,250
NY,198807,101870,566641,590747,24106,417
NY,146612,111420,418709,457848,39139,317
NY,74417,33506,583883,593253,9370,369
NY,129527,78501,155456,155763,307,113
NY,37897,2014,728020,756129,28109,463
NY,106107,51486,452646,474368,21722,301
NY,110026,16515,234619,243328,8709,212
NY,190049,93220,445254,469234,23980,309
NY,143033,123979,367963,381667,13704,258
NY,180412,157660,230333,245042,14709,155
NY,237297,167561,742500,771685,29185,380
NY,188824,159289,366527,385742,19215,353
NY,198573,185996,271415,276134,4719,258
NY,178132,56700,552570,587942,35372,366
NY,171365,12458,539609,553772,14163,440
NY,97007,37271,289987,294226,4239,184
NY,40697,16366,212841,223015,10174,175
NY,117822,1044,1047262,1085062,37800,603
NY,234231,51613,529383,552605,23222,230
NY,40142,15017,218234,225258,7024,159
NY,162105,118825,1065664,1086016,20352,699
NY,110718,35830,138273,139517,1244,65
NY,53653,33754,245637,252502,6865,199
NY,148427,148404,13568,15337,1769,14
NY,187500,60853,559523,575104,15581,322
NY,26752,11084,238948,254786,15838,183
NY,50047,44099,96804,97857,1053,53
NY,226955,18972,293418,301115,7697,193
NY,1833,1812,9497,9497,0,8
NY,138775,13050,256481,259969,3488,176
NY,82528,46532,610500,632230,21730,304
NY,82,3,65257,66660,1403,51
NY,44212,9799,369238,375452,6214,252
NY,155660,11478,484241,489448,5207,355
NY,29103,22539,207632,215288,7656,194
NY,168354,113931,530471,547421,16950,435
NY,191300,54917,799537,811668,12131,471
NY,222278,123741,269367,276159,6792,180
NY,199893,63683,694300,720650,26350,486
NY,253702,141296,269776,280651,10875,177
NY,46415,11685,351086,374822,23736,301
NY,232955,218053,751310,785241,33931,364
NY,221169,130685,206918,211049,4131,126
NY,17457,4972,527459,542133,14674,364
